date,close,volume,vix,rsi_14,beta,correlation_sp_vix
2023-07-28,4582.22998046875,3981010000,13.329999923706055,69.0723185761459,1.0,-0.3487531903045341
2023-07-31,4588.9599609375,4503600000,13.630000114440918,69.7869685159604,1.0,-0.4419077070824979
2023-08-01,4576.72998046875,4042370000,13.930000305175781,66.76765131872594,1.0,-0.5200450025605584
2023-08-02,4513.39013671875,4270710000,16.09000015258789,53.78817611569563,1.0,-0.6298390326203238
2023-08-03,4501.89013671875,4149120000,15.920000076293945,51.818558598543824,1.0,-0.6822579784697896
2023-08-04,4478.02978515625,4143310000,17.100000381469727,47.89943340011992,1.0,-0.6924436906563026
2023-08-07,4518.43994140625,3493920000,15.770000457763672,54.2151671948674,1.0,-0.7107413252717767
2023-08-08,4499.3798828125,3884910000,15.989999771118164,51.0705329118237,1.0,-0.6958538804884538
2023-08-09,4467.7099609375,3803100000,15.960000038146973,46.26832894723339,1.0,-0.6632205810090309
2023-08-10,4468.830078125,4504370000,15.850000381469727,46.46008498281655,1.0,-0.6691651151245821
2023-08-11,4464.0498046875,3753290000,14.84000015258789,45.710350971973384,1.0,-0.6409002552705992
2023-08-14,4489.72021484375,3896410000,14.819999694824219,50.34439584268676,1.0,-0.6801147649230562
2023-08-15,4437.85986328125,3832250000,16.459999084472656,42.4593553360017,1.0,-0.7190738125497365
2023-08-16,4404.330078125,3753910000,16.780000686645508,38.28437569368408,1.0,-0.7098536364387095
2023-08-17,4370.35986328125,3943700000,17.889999389648438,34.57504212071325,1.0,-0.7051809366716061
2023-08-18,4369.7099609375,3940400000,17.299999237060547,34.50616016840412,1.0,-0.7222244744902907
2023-08-21,4399.77001953125,3726850000,17.1299991607666,40.418762274971236,1.0,-0.7219596318930092
2023-08-22,4387.5498046875,3522760000,16.969999313354492,38.88202107918192,1.0,-0.7173302183471166
2023-08-23,4436.009765625,3837270000,15.979999542236328,47.419528623208144,1.0,-0.716773900069009
2023-08-24,4376.31005859375,3723470000,17.200000762939453,40.00548006741958,1.0,-0.7554562929157747
2023-08-25,4405.7099609375,3296180000,15.680000305175781,44.59927899065265,1.0,-0.7703767294035251
2023-08-28,4433.31005859375,2957230000,15.079999923706055,48.579831087645076,1.0,-0.7833920570782972
2023-08-29,4497.6298828125,3354820000,14.449999809265137,56.43544439496793,1.0,-0.7781238019960759
2023-08-30,4514.8701171875,3064110000,13.880000114440918,58.275458577804336,1.0,-0.7937459070796563
2023-08-31,4507.66015625,3946360000,13.569999694824219,57.187620298539294,1.0,-0.7922714481173003
2023-09-01,4515.77001953125,3246260000,13.09000015258789,58.13429836597803,1.0,-0.7940243125466553
2023-09-05,4496.830078125,3526250000,14.010000228881836,55.071558605834255,1.0,-0.8073714017059628
2023-09-06,4465.47998046875,3418850000,14.449999809265137,50.34366753218199,1.0,-0.8094497758941492
2023-09-07,4451.14013671875,3763760000,14.399999618530273,48.3010508321936,1.0,-0.8144583892156767
2023-09-08,4457.490234375,3259290000,13.84000015258789,49.28239519334888,1.0,-0.8134910081414716
